type	name	value	zone	address	bytes	access	other
Factory	GPIOF_LCKR	0x0	Memory	0x4800141c	4	readWrite	strong	
Factory	GPIOF_AFRL	0x0	Memory	0x48001420	4	readWrite	strong	
Factory	GPIOF_AFRH	0x0	Memory	0x48001424	4	readWrite	strong	
Factory	GPIOF_BRR	0x0	Memory	0x48001428	4	writeOnly	strong	
Factory	TSC_CR	0x0	Memory	0x40024000	4	readWrite	strong	
Factory	TSC_IER	0x0	Memory	0x40024004	4	readWrite	strong	
Factory	TSC_ICR	0x0	Memory	0x40024008	4	readWrite	strong	
Factory	TSC_ISR	0x0	Memory	0x4002400c	4	readWrite	strong	
Factory	TSC_IOHCR	0x0	Memory	0x40024010	4	readWrite	strong	
Factory	TSC_IOASCR	0x0	Memory	0x40024018	4	readWrite	strong	
Factory	TSC_IOSCR	0x0	Memory	0x40024020	4	readWrite	strong	
Factory	TSC_IOCCR	0x0	Memory	0x40024028	4	readWrite	strong	
Factory	TSC_IOGCSR	0x0	Memory	0x40024030	4	readWrite	strong	
Factory	TSC_IOG1CR	0x0	Memory	0x40024034	4	readOnly	strong	
Factory	TSC_IOG2CR	0x0	Memory	0x40024038	4	readOnly	strong	
Factory	TSC_IOG3CR	0x0	Memory	0x4002403c	4	readOnly	strong	
Factory	TSC_IOG4CR	0x0	Memory	0x40024040	4	readOnly	strong	
Factory	TSC_IOG5CR	0x0	Memory	0x40024044	4	readOnly	strong	
Factory	TSC_IOG6CR	0x0	Memory	0x40024048	4	readOnly	strong	
Factory	TSC_IOG7CR	0x0	Memory	0x4002404c	4	readOnly	strong	
Factory	TSC_IOG8CR	0x0	Memory	0x40024050	4	readOnly	strong	
Factory	CRC_DR	0x0	Memory	0x40023000	4	readWrite	strong	
Factory	CRC_IDR	0x0	Memory	0x40023004	4	readWrite	strong	
Factory	CRC_CR	0x0	Memory	0x40023008	4	readWrite	strong	
Factory	CRC_INIT	0x0	Memory	0x40023010	4	readWrite	strong	
Factory	CRC_POL	0x0	Memory	0x40023014	4	readWrite	strong	
Factory	Flash_ACR	0x32	Memory	0x40022000	4	readWrite	strong	
Factory	Flash_KEYR	0x0	Memory	0x40022004	4	writeOnly	strong	
Factory	Flash_OPTKEYR	0x0	Memory	0x40022008	4	writeOnly	strong	
Factory	Flash_SR	0x0	Memory	0x4002200c	4	readWrite	strong	
Factory	Flash_CR	0x80	Memory	0x40022010	4	readWrite	strong	
Factory	Flash_AR	0x0	Memory	0x40022014	4	writeOnly	strong	
Factory	Flash_OBR	0xffffff00	Memory	0x4002201c	4	readOnly	strong	
Factory	Flash_WRPR	0xffffffff	Memory	0x40022020	4	readOnly	strong	
Factory	RCC_CR	0x3016a83	Memory	0x40021000	4	readWrite	strong	
Factory	RCC_CFGR	0x40a	Memory	0x40021004	4	readWrite	strong	
Factory	RCC_CIR	0x0	Memory	0x40021008	4	readWrite	strong	
Factory	RCC_APB2RSTR	0x0	Memory	0x4002100c	4	readWrite	strong	
Factory	RCC_APB1RSTR	0x0	Memory	0x40021010	4	readWrite	strong	
Factory	RCC_AHBENR	0x14	Memory	0x40021014	4	readWrite	strong	
Factory	RCC_APB2ENR	0x0	Memory	0x40021018	4	readWrite	strong	
Factory	RCC_APB1ENR	0x0	Memory	0x4002101c	4	readWrite	strong	
Factory	RCC_BDCR	0x18	Memory	0x40021020	4	readWrite	strong	
Factory	RCC_CSR	0x1c800000	Memory	0x40021024	4	readWrite	strong	
Factory	RCC_AHBRSTR	0x0	Memory	0x40021028	4	readWrite	strong	
Factory	RCC_CFGR2	0x0	Memory	0x4002102c	4	readWrite	strong	
Factory	RCC_CFGR3	0x0	Memory	0x40021030	4	readWrite	strong	
Factory	DMA1_ISR	0x0	Memory	0x40020000	4	readOnly	strong	
Factory	DMA1_IFCR	0x0	Memory	0x40020004	4	writeOnly	strong	
Factory	DMA1_CCR1	0x0	Memory	0x40020008	4	readWrite	strong	
Factory	DMA1_CNDTR1	0x0	Memory	0x4002000c	4	readWrite	strong	
Factory	DMA1_CPAR1	0x0	Memory	0x40020010	4	readWrite	strong	
Factory	DMA1_CMAR1	0x0	Memory	0x40020014	4	readWrite	strong	
Factory	DMA1_CCR2	0x0	Memory	0x4002001c	4	readWrite	strong	
Factory	DMA1_CNDTR2	0x0	Memory	0x40020020	4	readWrite	strong	
Factory	DMA1_CPAR2	0x0	Memory	0x40020024	4	readWrite	strong	
Factory	DMA1_CMAR2	0x0	Memory	0x40020028	4	readWrite	strong	
Factory	DMA1_CCR3	0x0	Memory	0x40020030	4	readWrite	strong	
Factory	DMA1_CNDTR3	0x0	Memory	0x40020034	4	readWrite	strong	
Factory	DMA1_CPAR3	0x0	Memory	0x40020038	4	readWrite	strong	
Factory	DMA1_CMAR3	0x0	Memory	0x4002003c	4	readWrite	strong	
Factory	DMA1_CCR4	0x0	Memory	0x40020044	4	readWrite	strong	
Factory	DMA1_CNDTR4	0x0	Memory	0x40020048	4	readWrite	strong	
Factory	DMA1_CPAR4	0x0	Memory	0x4002004c	4	readWrite	strong	
Factory	DMA1_CMAR4	0x0	Memory	0x40020050	4	readWrite	strong	
